                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71921,                0.99031,                 1.0451,                0.83092,                0.79321,                0.86786,                0.69059,                0.80952,                  1.199,                 1.1439,             0.00055472,             0.00055472,             0.00055472
                      2,                 0.6591,                0.62101,                 1.0058,                0.64524,                0.79716,                0.72695,                0.56888,                0.80694,                 1.1094,                 1.1599,              0.0010604,              0.0010604,              0.0010604
                      3,                0.64256,                0.56331,                0.99864,                0.80908,                0.78137,                0.85837,                0.69558,                0.78189,                0.92941,                 1.1512,              0.0015161,              0.0015161,              0.0015161
                      4,                0.62233,                0.51316,                0.98684,                0.87191,                 0.8232,                0.89118,                0.73896,                0.73864,                0.75967,                 1.0891,               0.001442,               0.001442,               0.001442
                      5,                 0.5914,                0.46191,                0.96898,                0.89943,                 0.8603,                0.93676,                0.79557,                0.65441,                 0.5598,                 1.0381,              0.0013669,              0.0013669,              0.0013669
                      6,                0.57162,                0.43471,                0.96059,                0.87395,                 0.8532,                0.91727,                0.76606,                0.69397,                0.62663,                 1.0583,              0.0012919,              0.0012919,              0.0012919
                      7,                0.54979,                 0.4098,                0.95195,                0.88684,                0.88792,                0.94005,                0.80993,                0.60492,                0.53684,                0.99171,              0.0012169,              0.0012169,              0.0012169
                      8,                0.53985,                 0.3973,                0.94801,                0.89408,                0.89897,                0.94692,                 0.8147,                0.61341,                0.56617,                0.99039,              0.0011419,              0.0011419,              0.0011419
                      9,                0.52573,                0.37445,                0.93883,                0.90822,                0.91397,                0.96295,                0.83936,                0.56627,                0.47326,                 0.9749,              0.0010669,              0.0010669,              0.0010669
                     10,                0.51641,                0.36285,                0.93471,                0.91834,                0.88762,                0.95329,                0.83545,                 0.5666,                0.44565,                0.97137,             0.00099186,             0.00099186,             0.00099186
                     11,                0.50733,                 0.3534,                0.93044,                0.93474,                0.89818,                0.96471,                 0.8539,                0.53083,                0.41327,                0.92627,             0.00091685,             0.00091685,             0.00091685
                     12,                0.49527,                0.33964,                0.92324,                0.92455,                0.92107,                0.96802,                 0.8568,                0.52692,                0.40183,                0.92663,             0.00084184,             0.00084184,             0.00084184
                     13,                0.44561,                 0.2872,                0.88697,                0.92237,                0.92838,                0.96655,                0.86124,                0.53993,                0.39724,                 0.9374,             0.00076682,             0.00076682,             0.00076682
                     14,                0.43312,                0.27296,                 0.8797,                0.92489,                0.92107,                0.97184,                0.86445,                0.52946,                0.38866,                0.93478,              0.0006918,              0.0006918,              0.0006918
                     15,                0.42001,                0.26153,                0.87347,                 0.9281,                0.92818,                0.97138,                0.86375,                 0.5162,                0.38105,                0.91762,             0.00061679,             0.00061679,             0.00061679
                     16,                0.41157,                0.25111,                0.86439,                0.94031,                0.92976,                0.97418,                0.87519,                0.49688,                0.36614,                0.90839,             0.00054178,             0.00054178,             0.00054178
                     17,                 0.4021,                 0.2421,                0.86429,                0.93546,                0.94946,                0.97733,                0.88059,                0.49082,                0.34275,                0.89375,             0.00046676,             0.00046676,             0.00046676
                     18,                0.39166,                0.23181,                0.85559,                0.94705,                0.93607,                0.97947,                0.88678,                0.47501,                0.33697,                0.88376,             0.00039175,             0.00039175,             0.00039175
                     19,                 0.3803,                0.22052,                0.85071,                0.94095,                0.95582,                0.97703,                0.88691,                0.47635,                0.32299,                0.88631,             0.00031673,             0.00031673,             0.00031673
                     20,                0.37093,                0.21302,                0.84916,                0.94876,                0.95028,                0.97999,                0.88929,                 0.4732,                0.31542,                0.87663,             0.00024171,             0.00024171,             0.00024171
                     21,                0.36199,                0.20519,                0.84478,                0.94602,                0.95442,                0.98045,                0.89214,                0.45647,                0.31946,                0.86864,              0.0001667,              0.0001667,              0.0001667
                     22,                0.35348,                0.19729,                0.84292,                0.96272,                0.94475,                0.98132,                0.89861,                0.45269,                0.30629,                0.86246,             9.1685e-05,             9.1685e-05,             9.1685e-05
